2026-03-09 22:42:05.657 [pool-4-thread-20] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=12571, shortCode=2q257kAKAog, longUrl=https://www.load-test--1773067325640-259.com, urlHash=0ac5a7a5583d74ae06ab8894aff72826, status=1, expireTime=2026-03-16T22:42:05.640829800, createTime=2026-03-09T22:42:05.649849200, updateTime=2026-03-09T22:42:05.649849200)
2026-03-09 22:42:05.659 [pool-4-thread-44] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=12573, shortCode=2q257kBBnMs, longUrl=https://www.load-test--1773067325642-265.com, urlHash=ff2ec5babe8c85d5ce0bc715e5f34341, status=1, expireTime=2026-03-16T22:42:05.642831, createTime=2026-03-09T22:42:05.653022900, updateTime=2026-03-09T22:42:05.653022900)
2026-03-09 22:42:05.659 [pool-4-thread-9] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=12574, shortCode=2q257kBBnMt, longUrl=https://www.load-test--1773067325642-264.com, urlHash=18c5d8ecbd980b9866e69326e07fdb23, status=1, expireTime=2026-03-16T22:42:05.642831, createTime=2026-03-09T22:42:05.653022900, updateTime=2026-03-09T22:42:05.653022900)
2026-03-09 22:42:05.660 [pool-4-thread-31] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:05.660 [pool-4-thread-14] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:05.661 [pool-4-thread-30] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:05.665 [pool-4-thread-18] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257kzTN07
2026-03-09 22:42:05.665 [pool-4-thread-2] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257kzTN04
2026-03-09 22:42:05.665 [pool-4-thread-3] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257kzTN05
2026-03-09 22:42:05.665 [pool-4-thread-8] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=12575, shortCode=2q257kDAzGV, longUrl=https://www.load-test--1773067325649-274.com, urlHash=df80c8cab735d3fd63872ee07dffb276, status=1, expireTime=2026-03-16T22:42:05.649849200, createTime=2026-03-09T22:42:05.659082300, updateTime=2026-03-09T22:42:05.659082300)
2026-03-09 22:42:05.665 [pool-4-thread-43] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257kzTN06
2026-03-09 22:42:05.666 [pool-4-thread-46] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:05.666 [pool-4-thread-36] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:05.666 [pool-4-thread-33] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:05.666 [pool-4-thread-27] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:05.666 [pool-4-thread-11] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:05.667 [pool-4-thread-42] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257kBjMEo
2026-03-09 22:42:05.667 [pool-4-thread-9] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257kBBnMt
2026-03-09 22:42:05.667 [pool-4-thread-6] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257kAKAoj
2026-03-09 22:42:05.667 [pool-4-thread-47] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257kAKAoi
2026-03-09 22:42:05.667 [pool-4-thread-44] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257kBBnMs
2026-03-09 22:42:05.667 [pool-4-thread-22] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:05.667 [pool-4-thread-20] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257kAKAog
2026-03-09 22:42:05.667 [pool-4-thread-12] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=12578, shortCode=2q257kDAzGZ, longUrl=https://www.load-test--1773067325649-277.com, urlHash=8a59c3980ee631d0ab50802246f2ddee, status=1, expireTime=2026-03-16T22:42:05.649849200, createTime=2026-03-09T22:42:05.659082300, updateTime=2026-03-09T22:42:05.659082300)
2026-03-09 22:42:05.667 [pool-4-thread-21] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:05.667 [pool-4-thread-1] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257kAKAoh
2026-03-09 22:42:05.667 [pool-4-thread-38] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=12579, shortCode=2q257kDAzH0, longUrl=https://www.load-test--1773067325646-269.com, urlHash=b6430495bee5ac4534349dc9cc47bac5, status=1, expireTime=2026-03-16T22:42:05.646051300, createTime=2026-03-09T22:42:05.659082300, updateTime=2026-03-09T22:42:05.659082300)
2026-03-09 22:42:05.667 [pool-4-thread-17] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=12581, shortCode=2q257kDAzGW, longUrl=https://www.load-test--1773067325648-273.com, urlHash=985bef470b4618554884b0483d4ea5f0, status=1, expireTime=2026-03-16T22:42:05.648433400, createTime=2026-03-09T22:42:05.660097300, updateTime=2026-03-09T22:42:05.660097300)
2026-03-09 22:42:05.667 [pool-4-thread-26] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=12584, shortCode=2q257kDAzH3, longUrl=https://www.load-test--1773067325648-272.com, urlHash=ffca61501de049fa1a6fe891ed11bf83, status=1, expireTime=2026-03-16T22:42:05.648433400, createTime=2026-03-09T22:42:05.660097300, updateTime=2026-03-09T22:42:05.660097300)
2026-03-09 22:42:05.667 [pool-4-thread-50] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=12582, shortCode=2q257kDAzGU, longUrl=https://www.load-test--1773067325648-270.com, urlHash=85a9830dcb9a3d98d88d0d81cf248e44, status=1, expireTime=2026-03-16T22:42:05.648433400, createTime=2026-03-09T22:42:05.659082300, updateTime=2026-03-09T22:42:05.659082300)
2026-03-09 22:42:05.668 [pool-4-thread-25] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:05.667 [pool-4-thread-45] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=12583, shortCode=2q257kDAzH5, longUrl=https://www.load-test--1773067325649-276.com, urlHash=afc1573b3cc792cffcb5dfc111369796, status=1, expireTime=2026-03-16T22:42:05.649849200, createTime=2026-03-09T22:42:05.660097300, updateTime=2026-03-09T22:42:05.660097300)
2026-03-09 22:42:05.668 [pool-4-thread-40] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:05.668 [pool-4-thread-48] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=12585, shortCode=2q257kDAzH2, longUrl=https://www.load-test--1773067325649-275.com, urlHash=2524216c727637ce6d6f106105f9e206, status=1, expireTime=2026-03-16T22:42:05.649849200, createTime=2026-03-09T22:42:05.660097300, updateTime=2026-03-09T22:42:05.660097300)
2026-03-09 22:42:05.668 [pool-4-thread-16] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=12586, shortCode=2q257kDAzH4, longUrl=https://www.load-test--1773067325648-271.com, urlHash=b0d6ed58aebf3942862d46fb99083b87, status=1, expireTime=2026-03-16T22:42:05.648433400, createTime=2026-03-09T22:42:05.660097300, updateTime=2026-03-09T22:42:05.660097300)
2026-03-09 22:42:05.667 [pool-4-thread-10] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=12580, shortCode=2q257kDAzH1, longUrl=https://www.load-test--1773067325646-268.com, urlHash=2d6a95e9e4b1c38ee5551c1cfc5709d8, status=1, expireTime=2026-03-16T22:42:05.646051300, createTime=2026-03-09T22:42:05.659082300, updateTime=2026-03-09T22:42:05.659082300)
2026-03-09 22:42:05.668 [pool-4-thread-39] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=12576, shortCode=2q257kDAzGY, longUrl=https://www.load-test--1773067325645-266.com, urlHash=4e4b3053523e719c9796e8acf3f17796, status=1, expireTime=2026-03-16T22:42:05.645054300, createTime=2026-03-09T22:42:05.659082300, updateTime=2026-03-09T22:42:05.659082300)
2026-03-09 22:42:05.668 [pool-4-thread-19] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=12577, shortCode=2q257kDAzGX, longUrl=https://www.load-test--1773067325645-267.com, urlHash=9dbd3ae66eddaa9df4e975adf251d17b, status=1, expireTime=2026-03-16T22:42:05.645054300, createTime=2026-03-09T22:42:05.659082300, updateTime=2026-03-09T22:42:05.659082300)
2026-03-09 22:42:05.669 [pool-4-thread-49] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257kAbo88
2026-03-09 22:42:05.669 [pool-4-thread-24] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257kAbo89
